 

stn;time;tre200s0
BER;201905022010;9.6
BER;201905022020;9.7
BER;201905022030;9.6
BER;201905022040;9.6
BER;201905022050;9.4
BER;201905022100;9.2
BER;201905022110;9.1
BER;201905022120;9.0
BER;201905022130;8.9
BER;201905022140;8.9
BER;201905022150;8.9
BER;201905022200;8.9
BER;201905022210;9.0
BER;201905022220;8.9
BER;201905022230;8.9
BER;201905022240;8.8
BER;201905022250;8.9
BER;201905022300;8.8
BER;201905022310;8.7
BER;201905022320;8.7
BER;201905022330;8.6
BER;201905022340;8.7
BER;201905022350;8.6
BER;201905030000;8.7
BER;201905030010;8.5
BER;201905030020;8.4
BER;201905030030;8.4
BER;201905030040;8.2
BER;201905030050;8.0
BER;201905030100;8.0
BER;201905030110;8.0
BER;201905030120;7.9
BER;201905030130;7.8
BER;201905030140;7.8
BER;201905030150;7.7
BER;201905030200;7.6
BER;201905030210;7.6
BER;201905030220;7.5
BER;201905030230;7.4
BER;201905030240;7.4
BER;201905030250;7.4
BER;201905030300;7.3
BER;201905030310;7.3
BER;201905030320;7.3
BER;201905030330;7.3
BER;201905030340;7.3
BER;201905030350;7.3
BER;201905030400;7.4
BER;201905030410;7.2
BER;201905030420;7.2
BER;201905030430;7.3
BER;201905030440;7.3
BER;201905030450;7.4
BER;201905030500;7.4
BER;201905030510;7.4
BER;201905030520;7.4
BER;201905030530;7.5
BER;201905030540;7.5
BER;201905030550;7.7
BER;201905030600;7.6
BER;201905030610;7.7
BER;201905030620;7.9
BER;201905030630;8.0
BER;201905030640;8.3
BER;201905030650;8.3
BER;201905030700;8.6
BER;201905030710;8.5
BER;201905030720;8.7
BER;201905030730;9.3
BER;201905030740;9.0
BER;201905030750;9.5
BER;201905030800;10.1
BER;201905030810;9.5
BER;201905030820;9.4
BER;201905030830;9.4
BER;201905030840;9.3
BER;201905030850;9.2
BER;201905030900;9.6
BER;201905030910;9.2
BER;201905030920;9.3
BER;201905030930;9.4
BER;201905030940;9.4
BER;201905030950;10.9
BER;201905031000;10.5
BER;201905031010;10.8
BER;201905031020;10.2
BER;201905031030;10.2
BER;201905031040;10.2
BER;201905031050;10.3
BER;201905031100;10.7
BER;201905031110;10.6
BER;201905031120;10.7
BER;201905031130;11.0
BER;201905031140;11.6
BER;201905031150;11.8
BER;201905031200;11.9
BER;201905031210;11.5
BER;201905031220;12.0
BER;201905031230;11.3
BER;201905031240;11.3
BER;201905031250;11.8
BER;201905031300;11.4
BER;201905031310;12.3
BER;201905031320;11.7
BER;201905031330;11.6
BER;201905031340;11.3
BER;201905031350;11.5
BER;201905031400;11.5
BER;201905031410;11.1
BER;201905031420;10.8
BER;201905031430;10.7
BER;201905031440;10.5
BER;201905031450;10.6
BER;201905031500;10.6
BER;201905031510;10.8
BER;201905031520;10.8
BER;201905031530;11.0
BER;201905031540;11.0
BER;201905031550;11.1
BER;201905031600;11.1
BER;201905031610;11.1
BER;201905031620;11.1
BER;201905031630;11.4
BER;201905031640;11.1
BER;201905031650;11.1
BER;201905031700;11.0
BER;201905031710;10.9
BER;201905031720;10.9
BER;201905031730;10.9
BER;201905031740;10.7
BER;201905031750;10.8
BER;201905031800;10.6
BER;201905031810;10.6
BER;201905031820;10.5
BER;201905031830;10.0
BER;201905031840;9.9
BER;201905031850;9.2
BER;201905031900;8.4
BER;201905031910;8.5
BER;201905031920;8.1
BER;201905031930;7.6
BER;201905031940;6.6
BER;201905031950;7.7
BER;201905032000;7.0
BER;201905032010;6.4
BER;201905032020;6.4
BER;201905032030;6.6
BER;201905032040;6.5
BER;201905032050;6.3
BER;201905032100;6.3
BER;201905032110;6.5
BER;201905032120;5.9
BER;201905032130;5.1
BER;201905032140;5.7
BER;201905032150;4.8
BER;201905032200;6.2
BER;201905032210;6.0
BER;201905032220;6.3
BER;201905032230;5.9
BER;201905032240;6.1
BER;201905032250;6.2
BER;201905032300;5.9
BER;201905032310;6.7
BER;201905032320;7.1
BER;201905032330;6.3
BER;201905032340;6.2
BER;201905032350;6.4
BER;201905040000;6.2
BER;201905040010;6.3
BER;201905040020;6.0
BER;201905040030;6.4
BER;201905040040;6.3
BER;201905040050;6.2
BER;201905040100;6.4
BER;201905040110;6.4
BER;201905040120;6.5
BER;201905040130;6.3
BER;201905040140;6.2
BER;201905040150;6.3
BER;201905040200;6.2
BER;201905040210;6.3
BER;201905040220;6.6
BER;201905040230;6.2
BER;201905040240;6.4
BER;201905040250;6.7
BER;201905040300;6.5
BER;201905040310;6.8
BER;201905040320;6.3
BER;201905040330;6.1
BER;201905040340;6.3
BER;201905040350;4.3
BER;201905040400;4.8
BER;201905040410;4.8
BER;201905040420;5.2
BER;201905040430;4.7
BER;201905040440;5.6
BER;201905040450;5.8
BER;201905040500;6.2
BER;201905040510;6.5
BER;201905040520;6.7
BER;201905040530;6.9
BER;201905040540;7.0
BER;201905040550;7.1
BER;201905040600;7.3
BER;201905040610;7.4
BER;201905040620;7.3
BER;201905040630;8.0
BER;201905040640;8.5
BER;201905040650;8.9
BER;201905040700;8.5
BER;201905040710;8.8
BER;201905040720;8.9
BER;201905040730;9.1
BER;201905040740;8.9
BER;201905040750;9.3
BER;201905040800;9.4
BER;201905040810;9.7
BER;201905040820;9.8
BER;201905040830;9.9
BER;201905040840;9.7
BER;201905040850;9.7
BER;201905040900;9.7
BER;201905040910;9.6
BER;201905040920;9.6
BER;201905040930;9.4
BER;201905040940;9.4
BER;201905040950;9.8
BER;201905041000;11.1
BER;201905041010;10.8
BER;201905041020;10.9
BER;201905041030;9.7
BER;201905041040;7.7
BER;201905041050;8.2
BER;201905041100;8.3
BER;201905041110;8.6
BER;201905041120;8.7
BER;201905041130;8.5
BER;201905041140;8.9
BER;201905041150;9.0
BER;201905041200;8.6
BER;201905041210;8.4
BER;201905041220;8.8
BER;201905041230;9.3
BER;201905041240;10.4
BER;201905041250;10.4
BER;201905041300;10.3
BER;201905041310;10.1
BER;201905041320;10.3
BER;201905041330;10.6
BER;201905041340;11.0
BER;201905041350;10.9
BER;201905041400;11.1
BER;201905041410;11.4
BER;201905041420;11.3
BER;201905041430;11.4
BER;201905041440;10.9
BER;201905041450;8.0
BER;201905041500;6.7
BER;201905041510;6.0
BER;201905041520;5.7
BER;201905041530;5.6
BER;201905041540;5.5
BER;201905041550;4.9
BER;201905041600;4.8
BER;201905041610;4.6
BER;201905041620;4.3
BER;201905041630;4.2
