Typ,Time,Temp,lon,lat,altitude
Bicycle,2019-06-27 04:43:20,19.12,7.463273,46.99105,556
Bicycle,2019-06-27 04:43:30,19.1,7.463788,46.99121,555
Bicycle,2019-06-27 04:43:40,19.08,7.464251,46.99135,555
Bicycle,2019-06-27 04:43:50,19.04,7.46479,46.99152,555
Bicycle,2019-06-27 04:44:00,18.96,7.465283,46.99164,554
Bicycle,2019-06-27 04:44:10,18.86,7.465468,46.99131,555
Bicycle,2019-06-27 04:44:20,18.84,7.465629,46.99095,556
Bicycle,2019-06-27 04:44:30,18.89,7.465751,46.99059,557
Bicycle,2019-06-27 04:44:40,18.9,7.465773,46.99034,559
Bicycle,2019-06-27 04:44:50,18.9,7.465726,46.99023,561
Bicycle,2019-06-27 04:45:00,18.9,7.465691,46.9902,561
Bicycle,2019-06-27 04:45:10,18.9,7.465691,46.9902,560
Bicycle,2019-06-27 04:45:20,18.9,7.465671,46.99019,560
Bicycle,2019-06-27 04:45:30,18.9,7.465148,46.99008,560
Bicycle,2019-06-27 04:45:40,18.9,7.464528,46.98987,560
Bicycle,2019-06-27 04:45:50,18.94,7.463923,46.98965,560
Bicycle,2019-06-27 04:46:00,18.97,7.463393,46.98946,560
Bicycle,2019-06-27 04:46:10,19.03,7.462894,46.98927,560
Bicycle,2019-06-27 04:46:20,19.09,7.462883,46.98909,561
Bicycle,2019-06-27 04:46:30,19.14,7.46284,46.98877,560
Bicycle,2019-06-27 04:46:40,19.21,7.462973,46.98834,559
Bicycle,2019-06-27 04:46:50,19.29,7.46302,46.98837,563
Bicycle,2019-06-27 04:47:00,19.33,7.462905,46.98853,568
Bicycle,2019-06-27 04:47:10,19.37,7.462818,46.98877,570
Bicycle,2019-06-27 04:47:20,19.38,7.462458,46.98874,565
Bicycle,2019-06-27 04:47:30,19.44,7.462081,46.98862,562
Bicycle,2019-06-27 04:47:40,19.44,7.461528,46.98841,558
Bicycle,2019-06-27 04:47:50,19.35,7.461673,46.98784,555
Bicycle,2019-06-27 04:48:00,19.12,7.461965,46.98727,554
Bicycle,2019-06-27 04:48:10,19.11,7.462236,46.98673,554
Bicycle,2019-06-27 04:48:20,19.03,7.462439,46.9863,555
Bicycle,2019-06-27 04:48:30,18.97,7.462533,46.98593,555
Bicycle,2019-06-27 04:48:40,19.02,7.462333,46.9855,552
Bicycle,2019-06-27 04:48:50,18.95,7.462018,46.98495,549
Bicycle,2019-06-27 04:49:00,18.84,7.461698,46.98436,548
Bicycle,2019-06-27 04:49:10,18.72,7.46146,46.98386,548
Bicycle,2019-06-27 04:49:20,18.7,7.461496,46.98337,547
Bicycle,2019-06-27 04:49:30,18.74,7.461304,46.98283,544
Bicycle,2019-06-27 04:49:40,18.7,7.460791,46.98251,540
Bicycle,2019-06-27 04:49:50,18.75,7.459901,46.9823,538
Bicycle,2019-06-27 04:50:00,18.67,7.459116,46.98242,537
Bicycle,2019-06-27 04:50:10,18.57,7.458406,46.98253,536
Bicycle,2019-06-27 04:50:20,18.66,7.457795,46.98281,534
Bicycle,2019-06-27 04:50:30,18.74,7.457279,46.98275,530
Bicycle,2019-06-27 04:50:40,18.74,7.457013,46.9828,530
Bicycle,2019-06-27 04:50:50,18.77,7.456763,46.98267,530
Bicycle,2019-06-27 04:51:00,18.82,7.456666,46.98238,533
Bicycle,2019-06-27 04:51:10,18.84,7.456713,46.9818,531
Bicycle,2019-06-27 04:51:20,18.84,7.456761,46.98123,529
Bicycle,2019-06-27 04:51:30,18.9,7.45678,46.98067,530
Bicycle,2019-06-27 04:51:40,18.95,7.456753,46.98042,532
Bicycle,2019-06-27 04:51:50,18.97,7.456595,46.98046,535
Bicycle,2019-06-27 04:52:00,18.97,7.456513,46.98051,541
Bicycle,2019-06-27 04:52:10,18.97,7.45658,46.98,544
Bicycle,2019-06-27 04:52:20,18.95,7.456901,46.97914,543
Bicycle,2019-06-27 04:52:30,18.9,7.456906,46.97857,545
Bicycle,2019-06-27 04:52:40,18.85,7.456806,46.97797,545
Bicycle,2019-06-27 04:52:50,18.84,7.456708,46.9773,546
Bicycle,2019-06-27 04:53:00,18.84,7.456573,46.97669,545
Bicycle,2019-06-27 04:53:10,18.88,7.456406,46.97624,545
Bicycle,2019-06-27 04:53:20,18.9,7.456183,46.97587,546
Bicycle,2019-06-27 04:53:30,18.9,7.45586,46.97534,544
Bicycle,2019-06-27 04:53:40,18.9,7.455486,46.97508,543
Bicycle,2019-06-27 04:53:50,18.9,7.455075,46.97488,542
Bicycle,2019-06-27 04:54:00,18.9,7.454709,46.97471,543
Bicycle,2019-06-27 04:54:10,18.9,7.454309,46.97455,544
Bicycle,2019-06-27 04:54:20,18.9,7.453923,46.97436,545
Bicycle,2019-06-27 04:54:30,18.91,7.453523,46.97421,544
Bicycle,2019-06-27 04:54:40,18.97,7.453168,46.97405,544
Bicycle,2019-06-27 04:54:50,18.97,7.452928,46.974,544
Bicycle,2019-06-27 04:55:00,18.97,7.452474,46.97388,544
Bicycle,2019-06-27 04:55:10,18.98,7.452084,46.97369,545
Bicycle,2019-06-27 04:55:20,19.04,7.451669,46.97352,547
Bicycle,2019-06-27 04:55:30,19.04,7.451151,46.97334,544
Bicycle,2019-06-27 04:55:40,19.09,7.450839,46.97315,543
Bicycle,2019-06-27 04:55:50,19.15,7.450374,46.97292,543
Bicycle,2019-06-27 04:56:00,19.17,7.449874,46.9727,543
Bicycle,2019-06-27 04:56:10,19.21,7.449364,46.97249,541
Bicycle,2019-06-27 04:56:20,19.24,7.448833,46.97228,540
Bicycle,2019-06-27 04:56:30,19.24,7.448296,46.97205,540
Bicycle,2019-06-27 04:56:40,19.24,7.447748,46.97183,540
Bicycle,2019-06-27 04:56:50,19.28,7.447198,46.97162,540
Bicycle,2019-06-27 04:57:00,19.24,7.446678,46.97136,540
Bicycle,2019-06-27 04:57:10,19.24,7.446239,46.97104,541
Bicycle,2019-06-27 04:57:20,19.26,7.445846,46.97072,542
Bicycle,2019-06-27 04:57:30,19.28,7.445486,46.97037,544
Bicycle,2019-06-27 04:57:40,19.3,7.445116,46.96997,544
Bicycle,2019-06-27 04:57:50,19.3,7.444736,46.96957,544
Bicycle,2019-06-27 04:58:00,19.33,7.444383,46.96919,545
Bicycle,2019-06-27 04:58:10,19.37,7.444078,46.96879,543
Bicycle,2019-06-27 04:58:20,19.37,7.443871,46.96833,544
Bicycle,2019-06-27 04:58:30,19.37,7.443708,46.96783,542
Bicycle,2019-06-27 04:58:40,19.37,7.443664,46.96738,542
