"NUMMER","time_20_21","time_21_22","time_22_23","time_23_00","time_00_01","time_01_02","time_02_03","time_03_04","time_04_05","time_05_06","time_06_07","time_07_08","time_08_09","time_09_10","time_10_11","time_11_12","time_12_13","time_13_14","time_20_22","time_21_23","time_22_00","time_23_01","time_00_02","time_01_03","time_02_04","time_03_05","time_04_06","time_05_07","time_06_08","time_07_09","time_08_10","time_09_11","time_10_12","time_11_13","time_12_14","time_20_23","time_21_00","time_22_01","time_23_02","time_00_03","time_01_04","time_02_05","time_03_06","time_04_07","time_05_08","time_06_09","time_07_10","time_08_11","time_09_12","time_10_13","time_11_14","time_20_00","time_21_01","time_22_02","time_23_03","time_00_04","time_01_05","time_02_06","time_03_07","time_04_08","time_05_09","time_06_10","time_07_11","time_08_12","time_09_13","time_10_14","night_22_06"
37,24.009,22.878,21.657,20.949,NA,NA,18.837,18.546,18.763,19.743,21.457,24.224,26.793,27.944,NA,32.048,32.776,33.103,23.321,22.273,21.44,20.949,NA,18.837,18.65,18.645,19.303,20.329,23.246,25.542,26.947,27.944,32.048,32.523,32.852,22.699,22.036,21.44,20.949,18.837,18.65,18.689,19.039,19.783,21.827,24.684,25.718,26.947,31.115,32.523,32.619,22.452,22.036,21.44,19.79,18.65,18.689,19.006,19.418,21.067,23.261,24.875,25.718,28.555,32.098,32.619,19.743
32,25.372,24.016,23.101,22.784,NA,NA,20.092,19.725,19.432,19.655,21.516,23.713,26.078,27.594,NA,32.367,32.997,33.578,24.547,23.563,23.004,22.784,NA,20.092,19.856,19.592,19.555,20.292,22.936,24.927,26.28,27.594,32.367,32.779,33.132,24.007,23.424,23.004,22.784,20.092,19.856,19.708,19.615,19.992,21.607,24.21,25.122,26.28,31.282,32.779,32.911,23.834,23.424,23.004,21.306,19.856,19.708,19.692,19.913,21.068,22.898,24.408,25.122,28.2,32.297,32.911,20.695
53,27.503,26.133,25.078,24.627,NA,NA,22.273,21.782,21.368,22.193,24.006,26.702,28.994,29.543,NA,34.029,35.228,35.944,26.669,25.611,24.94,24.627,NA,22.273,21.957,21.594,21.823,22.813,25.749,27.878,29.067,29.543,34.029,34.812,35.395,26.075,25.435,24.94,24.627,22.273,21.957,21.751,21.809,22.309,24.308,27.065,28,29.067,33.009,34.812,34.999,25.87,25.435,24.94,23.335,21.957,21.751,21.884,22.153,23.579,25.661,27.21,28,30.632,34.323,34.999,22.809
34,27.175,25.954,24.995,23.934,NA,NA,21.023,20.693,20.596,21.491,23.769,25.942,27.807,29.026,NA,34.771,36.109,36.995,26.431,25.479,24.671,23.934,NA,21.023,20.811,20.649,21.09,22.269,25.173,26.899,27.97,29.026,34.771,35.645,36.315,25.895,25.203,24.671,23.934,21.023,20.811,20.736,20.951,21.686,23.681,26.241,27.054,27.97,33.466,35.645,35.867,25.618,25.203,24.671,22.336,20.811,20.736,20.963,21.393,22.916,24.872,26.405,27.054,30.115,35.03,35.867,22.086
41,28.297,27.086,25.771,25.319,NA,NA,22.733,22.089,21.672,21.983,23.698,25.974,27.817,28.935,NA,35.145,36.24,37.339,27.56,26.435,25.633,25.319,NA,22.733,22.318,21.899,21.843,22.569,25.169,26.92,27.966,28.935,35.145,35.86,36.495,26.892,26.236,25.633,25.319,22.733,22.318,22.092,21.929,22.256,23.879,26.243,27.067,27.966,33.733,35.86,36.104,26.67,26.236,25.633,23.899,22.318,22.092,22.059,22.207,23.331,25.016,26.401,27.067,30.23,35.217,36.104,23.141
36,27.841,26.336,25.05,24.248,NA,NA,22.566,22.162,21.894,23.069,25.687,28.531,30.185,30.687,NA,34.568,35.627,36.509,26.925,25.699,24.805,24.248,NA,22.566,22.307,22.04,22.542,23.964,27.525,29.38,30.252,30.687,34.568,35.26,35.832,26.225,25.44,24.805,24.248,22.566,22.307,22.162,22.409,23.242,25.72,28.604,29.475,30.252,33.686,35.26,35.466,25.946,25.44,24.805,23.325,22.307,22.162,22.435,22.924,24.771,27.009,28.726,29.475,31.613,34.835,35.466,23.153
25,25.973,24.434,23.477,23.325,NA,NA,20.996,20.627,20.742,23.235,25.94,28.131,29.755,31.148,NA,34.724,35.807,36.604,25.037,23.96,23.431,23.325,NA,20.996,20.759,20.68,22.117,24.159,27.356,28.964,29.941,31.148,34.724,35.432,35.992,24.454,23.847,23.431,23.325,20.996,20.759,20.753,21.596,22.967,25.686,28.329,29.124,29.941,33.911,35.432,35.625,24.295,23.847,23.431,22.046,20.759,20.753,21.5,22.277,24.459,26.861,28.494,29.124,31.449,35.034,35.625,22.084
45,25.195,24.119,23.036,22.242,NA,NA,19.778,19.53,19.791,22.551,26.222,29.119,30.9,31.565,NA,34.969,36.145,36.605,24.541,23.583,22.793,22.242,NA,19.778,19.619,19.649,21.314,23.805,28.094,30.033,30.989,31.565,34.969,35.737,36.252,23.978,23.343,22.793,22.242,19.778,19.619,19.679,20.69,22.405,25.848,29.232,30.145,30.989,34.195,35.737,35.88,23.733,23.343,22.793,20.889,19.619,19.679,20.543,21.557,24.345,27.306,29.369,30.145,32.244,35.349,35.88,21.224
8,28.345,26.182,25.122,24.612,NA,NA,22.819,22.371,22.057,22.215,24.469,27.837,29.878,30.659,NA,34.381,35.131,35.969,27.029,25.657,24.966,24.612,NA,22.819,22.531,22.228,22.144,22.986,26.645,28.884,29.982,30.659,34.381,34.87,35.326,26.317,25.47,24.966,24.612,22.819,22.531,22.365,22.224,22.662,24.851,27.956,29.013,29.982,33.535,34.87,35.051,26.076,25.47,24.966,23.627,22.531,22.365,22.32,22.576,24.158,26.302,28.114,29.013,31.369,34.479,35.051,23.121
48,26.217,25.126,23.728,23.094,NA,NA,20.756,20.363,20.283,21.242,23.076,25.376,27.71,29.225,NA,33.532,34.494,34.843,25.554,24.434,23.534,23.094,NA,20.756,20.503,20.327,20.812,21.869,24.563,26.574,27.913,29.225,33.532,34.16,34.574,24.872,24.194,23.534,23.094,20.756,20.503,20.426,20.655,21.316,23.218,25.839,26.768,27.913,32.554,34.16,34.273,24.62,24.194,23.534,21.81,20.503,20.426,20.672,21.035,22.49,24.515,26.038,26.768,29.685,33.702,34.273,21.538
18,28.696,27.209,26.071,25.451,NA,NA,22.869,22.322,22.152,22.703,24.557,26.626,28.042,29.08,NA,33.112,34.04,34.812,27.791,26.646,25.882,25.451,NA,22.869,22.517,22.244,22.456,23.337,25.894,27.353,28.181,29.08,33.112,33.718,34.219,27.149,26.432,25.882,25.451,22.869,22.517,22.389,22.409,22.924,24.601,26.765,27.479,28.181,32.196,33.718,33.899,26.909,26.432,25.882,24.033,22.517,22.389,22.484,22.746,23.994,25.595,26.901,27.479,29.736,33.287,33.899,23.512
73,28.538,27.046,26.022,25.304,NA,NA,22.51,22.018,21.651,21.771,23.91,26.247,28.788,30.641,NA,35.091,35.408,36.14,27.63,26.539,25.803,25.304,NA,22.51,22.193,21.851,21.717,22.502,25.42,27.55,29.035,30.641,35.091,35.298,35.579,27.03,26.318,25.803,25.304,22.51,22.193,22.004,21.822,22.205,23.941,26.786,27.776,29.035,34.08,35.298,35.437,26.786,26.318,25.803,23.77,22.193,22.004,21.934,22.15,23.373,25.341,27.012,27.776,30.944,34.865,35.437,23.105
63,27.04,26.171,25.453,24.714,NA,NA,21.777,21.958,22.857,24.298,26.409,28.446,30.179,31.751,NA,34.49,35.652,36.126,26.512,25.815,25.227,24.714,NA,21.777,21.894,22.367,23.652,25.019,27.725,29.335,30.389,31.751,34.49,35.249,35.762,26.116,25.618,25.227,24.714,21.777,21.894,22.231,23.06,24.265,26.336,28.72,29.512,30.389,33.868,35.249,35.394,25.918,25.618,25.227,23.101,21.894,22.231,22.853,23.585,25.473,27.446,28.898,29.512,31.682,34.924,35.394,23.571
69,28.483,27.118,25.68,24.923,NA,NA,22.931,22.297,22.492,23.65,26.261,28.745,30.404,31.509,NA,35.422,36.146,36.896,27.652,26.406,25.447,24.923,NA,22.931,22.523,22.386,23.131,24.541,27.867,29.596,30.552,31.509,35.422,35.894,36.32,26.915,26.14,25.447,24.923,22.931,22.523,22.512,22.839,23.827,26.158,28.896,29.736,30.552,34.532,35.894,36.06,26.633,26.14,25.447,23.829,22.523,22.512,22.855,23.376,25.248,27.384,29.049,29.736,32.087,35.487,36.06,23.64
