"p_id","time_20_21","time_21_22","time_22_23","time_23_00","time_00_01","time_01_02","time_02_03","time_03_04","time_04_05","time_05_06","time_06_07","time_07_08","time_08_09","time_09_10","time_10_11","time_11_12","time_12_13","time_13_14","time_20_22","time_21_23","time_22_00","time_23_01","time_00_02","time_01_03","time_02_04","time_03_05","time_04_06","time_05_07","time_06_08","time_07_09","time_08_10","time_09_11","time_10_12","time_11_13","time_12_14","time_20_23","time_21_00","time_22_01","time_23_02","time_00_03","time_01_04","time_02_05","time_03_06","time_04_07","time_05_08","time_06_09","time_07_10","time_08_11","time_09_12","time_10_13","time_11_14","time_20_00","time_21_01","time_22_02","time_23_03","time_00_04","time_01_05","time_02_06","time_03_07","time_04_08","time_05_09","time_06_10","time_07_11","time_08_12","time_09_13","time_10_14","night_22_06"
7129,25.3,24.702,23.93,23.7,NA,NA,23.269,23,23,23,24.154,26.307,28.14,28.8,NA,29.5,NA,NA,24.916,24.32,23.86,23.7,NA,23.269,23.096,23,23,23.396,25.545,27.247,28.228,28.8,29.5,29.5,NA,24.535,24.209,23.86,23.7,23.269,23.096,23.062,23,23.258,24.515,26.597,27.361,28.228,29.006,29.5,29.5,24.414,24.209,23.86,23.463,23.096,23.062,23.044,23.182,24.139,25.562,26.726,27.361,28.296,29.006,29.5,23.291
7130,NA,28.5,27.99,27.6,NA,NA,24.695,24.057,23.452,23.593,23.803,24.069,25.477,26.1,NA,32.5,32.788,33,28.5,28.179,27.871,27.6,NA,24.695,24.284,23.782,23.53,23.664,23.975,24.791,25.56,26.1,32.5,32.688,32.837,28.179,28.053,27.871,27.6,24.695,24.284,23.993,23.714,23.59,23.82,24.584,24.887,25.56,31.045,32.688,32.74,28.053,28.053,27.871,26.005,24.284,23.993,23.873,23.728,23.729,24.299,24.673,24.887,27.748,32.076,32.74,25.083
7131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7132,27.899,27.106,26.088,25.628,NA,NA,23.111,22.643,22.465,22.934,23.877,25.022,26.143,26.6,NA,28.7,NA,NA,27.416,26.602,25.948,25.628,NA,23.111,22.81,22.562,22.724,23.257,24.617,25.597,26.203,26.6,28.7,28.7,NA,26.92,26.428,25.948,25.628,23.111,22.81,22.689,22.696,22.98,23.935,25.236,25.67,26.203,27.001,28.7,28.7,26.737,26.428,25.948,24.246,22.81,22.689,22.763,22.881,23.57,24.573,25.316,25.67,26.281,27.001,28.7,23.727
7133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7137,26.627,25.609,24.494,24.025,NA,NA,21.553,20.959,20.629,20.6,NA,24.9,26.385,27.5,NA,33.418,34.15,34.7,26.007,25.057,24.351,24.025,NA,21.553,21.17,20.809,20.619,20.6,24.9,25.879,26.533,27.5,33.418,33.896,34.277,25.442,24.872,24.351,24.025,21.553,21.17,20.981,20.769,20.619,22.957,25.879,26.028,26.533,32.073,33.896,34.029,25.242,24.872,24.351,22.667,21.17,20.981,20.922,20.769,21.88,24.721,26.028,26.028,28.704,33.302,34.029,22.102
7138,27.355,26.341,25.499,25.2,NA,NA,22.011,21.527,21.403,22.264,23.539,25.328,27.005,27.6,NA,33.7,33.7,NA,26.738,25.924,25.408,25.2,NA,22.011,21.699,21.471,21.878,22.7,24.696,26.188,27.084,27.6,33.7,33.7,33.7,26.275,25.795,25.408,25.2,22.011,21.699,21.596,21.755,22.248,23.711,25.632,26.291,27.084,32.314,33.7,33.7,26.123,25.795,25.408,23.449,21.699,21.596,21.797,22.035,23.138,24.662,25.747,26.291,29.17,32.822,33.7,22.89
7142,NA,NA,NA,NA,NA,NA,NA,NA,20.4,21.336,22.787,24.53,26.743,27.8,NA,34.372,35.102,35.7,NA,NA,NA,NA,NA,NA,NA,20.4,20.985,21.832,23.914,25.665,26.884,27.8,34.372,34.849,35.24,NA,NA,NA,NA,NA,NA,20.4,20.985,21.427,22.869,25.061,25.821,26.884,32.878,34.849,34.989,NA,NA,NA,NA,NA,20.4,20.985,21.427,22.386,23.988,25.221,25.821,29.245,34.194,34.989,20.985
7143,26.097,25.652,25.11,24.7,NA,NA,22.149,21.59,21.516,22.523,23.934,25.453,27.585,28.7,NA,33.3,33.707,34,25.827,25.384,24.985,24.7,NA,22.149,21.789,21.556,22.071,23.005,24.916,26.547,27.733,28.7,33.3,33.566,33.775,25.559,25.262,24.985,24.7,22.149,21.789,21.694,21.903,22.486,23.946,25.998,26.704,27.733,32.255,33.566,33.637,25.438,25.262,24.985,23.299,21.789,21.694,21.943,22.222,23.343,24.997,26.157,26.704,29.489,33.114,33.637,22.864
7145,26.417,25.89,25.139,24.7,NA,NA,22.226,22.467,22.85,23.144,24.244,26.522,29.297,30.5,NA,36.418,37.258,37.9,26.096,25.518,25.005,24.7,NA,22.226,22.382,22.641,23.013,23.521,25.717,27.946,29.457,30.5,36.418,36.967,37.407,25.738,25.372,25.005,24.7,22.226,22.382,22.546,22.822,23.287,24.675,27.169,28.132,29.457,35.073,36.967,37.121,25.592,25.372,25.005,23.342,22.382,22.546,22.726,23.045,24.223,26.01,27.364,28.132,31.652,36.366,37.121,23.416
