Typ,ID,Time,Temp,lon,lat,altitude
Bicycle,1,2019-06-26 23:00:00,24.42,7.457086,46.97879,518
Bicycle,1,2019-06-26 23:00:10,24.43,7.457101,46.97824,520
Bicycle,1,2019-06-26 23:00:20,24.37,7.457044,46.9777,522
Bicycle,1,2019-06-26 23:00:30,24.31,7.45689,46.97718,521
Bicycle,1,2019-06-26 23:00:40,24.29,7.456729,46.97668,520
Bicycle,1,2019-06-26 23:00:50,24.24,7.456576,46.97621,520
Bicycle,1,2019-06-26 23:01:00,24.24,7.456389,46.97582,522
Bicycle,1,2019-06-26 23:01:10,24.24,7.456124,46.97547,525
Bicycle,1,2019-06-26 23:01:20,24.22,7.455773,46.97518,526
Bicycle,1,2019-06-26 23:01:30,24.16,7.455338,46.97496,528
Bicycle,1,2019-06-26 23:01:40,24.1,7.454898,46.9748,529
Bicycle,1,2019-06-26 23:01:50,24.06,7.454446,46.97461,531
Bicycle,1,2019-06-26 23:02:00,24.03,7.453984,46.97446,530
Bicycle,1,2019-06-26 23:02:10,24.03,7.453535,46.97428,531
Bicycle,1,2019-06-26 23:02:20,23.98,7.453079,46.97408,533
Bicycle,1,2019-06-26 23:02:30,23.97,7.452601,46.9739,532
Bicycle,1,2019-06-26 23:02:40,23.93,7.452128,46.97374,533
Bicycle,1,2019-06-26 23:02:50,23.9,7.451694,46.97356,535
Bicycle,1,2019-06-26 23:03:00,23.9,7.451286,46.97338,542
Bicycle,1,2019-06-26 23:03:10,23.91,7.450888,46.97315,542
Bicycle,1,2019-06-26 23:03:20,23.98,7.450433,46.9729,543
Bicycle,1,2019-06-26 23:03:30,24.07,7.449923,46.97268,543
Bicycle,1,2019-06-26 23:03:40,24.15,7.449423,46.97246,544
Bicycle,1,2019-06-26 23:03:50,24.18,7.448863,46.97225,544
Bicycle,1,2019-06-26 23:04:00,24.24,7.448321,46.97204,543
Bicycle,1,2019-06-26 23:04:10,24.24,7.447774,46.9718,543
Bicycle,1,2019-06-26 23:04:20,24.22,7.447218,46.97158,541
Bicycle,1,2019-06-26 23:04:30,24.17,7.446708,46.97131,541
Bicycle,1,2019-06-26 23:04:40,24.12,7.446228,46.971,541
Bicycle,1,2019-06-26 23:04:50,24.09,7.445813,46.97064,541
Bicycle,1,2019-06-26 23:05:00,24.03,7.445458,46.97026,541
Bicycle,1,2019-06-26 23:05:10,24.03,7.445101,46.96987,542
Bicycle,1,2019-06-26 23:05:20,24.06,7.444736,46.9695,542
Bicycle,1,2019-06-26 23:05:30,24.1,7.44443,46.96913,542
Bicycle,1,2019-06-26 23:05:40,24.13,7.444148,46.96874,541
Bicycle,1,2019-06-26 23:05:50,24.17,7.44397,46.96835,543
Bicycle,1,2019-06-26 23:06:00,24.17,7.443796,46.96791,540
Bicycle,1,2019-06-26 23:06:10,24.17,7.44375,46.96752,538
Bicycle,1,2019-06-26 23:06:20,24.1,7.443691,46.96709,538
Bicycle,1,2019-06-26 23:06:30,24.11,7.443583,46.96661,538
Bicycle,1,2019-06-26 23:06:40,24.17,7.443439,46.96622,539
Bicycle,1,2019-06-26 23:06:50,24.17,7.443306,46.96585,538
Bicycle,1,2019-06-26 23:07:00,24.18,7.443143,46.96544,538
Bicycle,1,2019-06-26 23:07:10,24.17,7.442979,46.96504,539
Bicycle,1,2019-06-26 23:07:20,24.17,7.442791,46.96464,539
Bicycle,1,2019-06-26 23:07:30,24.22,7.442534,46.96424,540
Bicycle,1,2019-06-26 23:07:40,24.22,7.442251,46.96386,542
Bicycle,1,2019-06-26 23:07:50,24.23,7.44195,46.96351,543
Bicycle,1,2019-06-26 23:08:00,24.29,7.441668,46.96316,545
Bicycle,1,2019-06-26 23:08:10,24.39,7.441304,46.96271,545
Bicycle,1,2019-06-26 23:08:20,24.48,7.440886,46.96225,545
Bicycle,1,2019-06-26 23:08:30,24.52,7.440379,46.96167,543
Bicycle,1,2019-06-26 23:08:40,24.5,7.440475,46.96125,543
Bicycle,1,2019-06-26 23:08:50,24.5,7.440378,46.96088,543
Bicycle,1,2019-06-26 23:09:00,24.45,7.440323,46.96053,543
Bicycle,1,2019-06-26 23:09:10,24.39,7.440226,46.96019,542
Bicycle,1,2019-06-26 23:09:20,24.35,7.440099,46.95978,543
Bicycle,1,2019-06-26 23:09:30,24.29,7.439958,46.95937,546
Bicycle,1,2019-06-26 23:09:40,24.24,7.439808,46.95899,548
Bicycle,1,2019-06-26 23:09:50,24.18,7.439633,46.9586,547
Bicycle,1,2019-06-26 23:10:00,24.17,7.439441,46.95824,544
Bicycle,1,2019-06-26 23:10:10,24.17,7.439283,46.95787,543
Bicycle,1,2019-06-26 23:10:20,24.21,7.439181,46.9575,543
Bicycle,1,2019-06-26 23:10:30,24.26,7.439176,46.95708,544
Bicycle,1,2019-06-26 23:10:40,24.35,7.439218,46.95669,546
Bicycle,1,2019-06-26 23:10:50,24.42,7.439253,46.95634,546
Bicycle,1,2019-06-26 23:11:00,24.49,7.439291,46.95597,545
Bicycle,1,2019-06-26 23:11:10,24.56,7.439288,46.95549,546
Bicycle,1,2019-06-26 23:11:20,24.63,7.439283,46.95502,549
Bicycle,1,2019-06-26 23:11:30,24.7,7.439298,46.95456,552
Bicycle,1,2019-06-26 23:11:40,24.76,7.439351,46.9542,554
Bicycle,1,2019-06-26 23:11:50,24.81,7.439373,46.95381,552
Bicycle,1,2019-06-26 23:12:00,24.87,7.439298,46.95345,546
Bicycle,1,2019-06-26 23:12:10,24.9,7.43977,46.95321,542
Bicycle,1,2019-06-26 23:12:20,24.98,7.44023,46.9529,538
Bicycle,1,2019-06-26 23:12:30,25.06,7.440632,46.95246,537
Bicycle,1,2019-06-26 23:12:40,25.15,7.440795,46.95197,537
Bicycle,1,2019-06-26 23:12:50,25.23,7.440791,46.95137,536
Bicycle,1,2019-06-26 23:13:00,25.31,7.440741,46.95108,537
Bicycle,1,2019-06-26 23:13:10,25.31,7.44066,46.95102,544
Bicycle,1,2019-06-26 23:13:20,25.37,7.44066,46.95102,544
Bicycle,1,2019-06-26 23:13:30,25.38,7.440703,46.95095,549
Bicycle,1,2019-06-26 23:13:40,25.38,7.441289,46.95084,554
Bicycle,1,2019-06-26 23:13:50,25.42,7.441886,46.9507,558
Bicycle,1,2019-06-26 23:14:00,25.45,7.442479,46.95052,560
Bicycle,1,2019-06-26 23:14:10,25.51,7.44305,46.95032,559
Bicycle,1,2019-06-26 23:14:20,25.51,7.4436,46.95014,558
Bicycle,1,2019-06-26 23:14:30,25.58,7.444176,46.94993,555
Bicycle,1,2019-06-26 23:14:40,25.67,7.444261,46.94954,552
Bicycle,1,2019-06-26 23:14:50,25.71,7.444461,46.9493,553
Bicycle,1,2019-06-26 23:15:00,25.75,7.444959,46.94916,550
Bicycle,1,2019-06-26 23:15:10,25.78,7.445518,46.94903,551
Bicycle,1,2019-06-26 23:15:20,25.83,7.446099,46.94895,552
Bicycle,1,2019-06-26 23:15:30,25.88,7.446738,46.94888,552
Bicycle,1,2019-06-26 23:15:40,25.91,7.447043,46.94874,555
Bicycle,1,2019-06-26 23:15:50,25.91,7.447445,46.94862,552
Bicycle,1,2019-06-26 23:16:00,25.91,7.447656,46.94868,552
Bicycle,1,2019-06-26 23:16:10,25.91,7.448163,46.94856,552
Bicycle,1,2019-06-26 23:16:20,25.91,7.448859,46.94854,554
Bicycle,1,2019-06-26 23:16:30,25.91,7.449613,46.94858,554
Bicycle,1,2019-06-26 23:16:40,25.91,7.450298,46.9486,554
Bicycle,1,2019-06-26 23:16:50,25.91,7.451019,46.94864,554
Bicycle,1,2019-06-26 23:17:00,25.97,7.451738,46.94863,553
Bicycle,1,2019-06-26 23:17:10,25.97,7.452396,46.9487,554
Bicycle,1,2019-06-26 23:17:20,25.87,7.452976,46.94873,554
Bicycle,1,2019-06-26 23:17:30,25.8,7.453623,46.94879,554
Bicycle,1,2019-06-26 23:17:40,25.82,7.454209,46.9489,551
Bicycle,1,2019-06-26 23:17:50,25.84,7.454795,46.94899,548
Bicycle,1,2019-06-26 23:18:00,25.78,7.455396,46.9491,544
Bicycle,1,2019-06-26 23:18:10,25.69,7.455681,46.949,543
Bicycle,1,2019-06-26 23:18:20,25.6,7.455543,46.94869,542
Bicycle,1,2019-06-26 23:18:30,25.51,7.455081,46.94861,543
Bicycle,1,2019-06-26 23:18:40,25.44,7.454644,46.9485,542
Bicycle,1,2019-06-26 23:18:50,25.44,7.454204,46.94843,544
Bicycle,1,2019-06-26 23:19:00,25.44,7.453804,46.94833,546
Bicycle,1,2019-06-26 23:19:10,25.44,7.453385,46.94823,549
Bicycle,1,2019-06-26 23:19:20,25.5,7.452908,46.94818,551
Bicycle,1,2019-06-26 23:19:30,25.59,7.452473,46.94813,551
Bicycle,1,2019-06-26 23:19:40,25.67,7.452069,46.94809,552
Bicycle,1,2019-06-26 23:19:50,25.74,7.451631,46.94807,552
Bicycle,1,2019-06-26 23:20:00,25.81,7.451199,46.94807,554
Bicycle,1,2019-06-26 23:20:10,25.87,7.45077,46.94806,554
Bicycle,1,2019-06-26 23:20:20,25.93,7.450356,46.94805,554
Bicycle,1,2019-06-26 23:20:30,25.99,7.449949,46.94804,554
Bicycle,1,2019-06-26 23:20:40,26.05,7.44952,46.94802,555
Bicycle,1,2019-06-26 23:20:50,26.11,7.449088,46.94802,555
Bicycle,1,2019-06-26 23:21:00,26.14,7.44866,46.94803,556
Bicycle,1,2019-06-26 23:21:10,26.18,7.44822,46.94805,556
Bicycle,1,2019-06-26 23:21:20,26.18,7.448201,46.9477,562
Bicycle,1,2019-06-26 23:21:30,26.18,7.448186,46.94733,563
Bicycle,1,2019-06-26 23:21:40,26.18,7.447628,46.94728,566
Bicycle,1,2019-06-26 23:21:50,26.18,7.447031,46.94729,565
Bicycle,1,2019-06-26 23:22:00,26.18,7.446468,46.9473,564
Bicycle,1,2019-06-26 23:22:10,26.16,7.445871,46.94733,564
Bicycle,1,2019-06-26 23:22:20,26.11,7.445308,46.94737,564
Bicycle,1,2019-06-26 23:22:30,26.11,7.444748,46.94731,564
Bicycle,1,2019-06-26 23:22:40,26.11,7.444061,46.94723,562
Bicycle,1,2019-06-26 23:22:50,26.11,7.443778,46.94699,561
Bicycle,1,2019-06-26 23:23:00,26.06,7.443253,46.94684,558
Bicycle,1,2019-06-26 23:23:10,26.01,7.442666,46.94676,557
Bicycle,1,2019-06-26 23:23:20,25.96,7.442038,46.94666,552
Bicycle,1,2019-06-26 23:23:30,25.91,7.441388,46.94658,549
Bicycle,1,2019-06-26 23:23:40,25.87,7.440701,46.94648,546
Bicycle,1,2019-06-26 23:23:50,25.84,7.440041,46.94636,544
Bicycle,1,2019-06-26 23:24:00,25.84,7.439388,46.94626,543
Bicycle,1,2019-06-26 23:24:10,25.84,7.438726,46.94616,543
Bicycle,1,2019-06-26 23:24:20,25.84,7.438061,46.94606,541
Bicycle,1,2019-06-26 23:24:30,25.84,7.437833,46.94621,540
Bicycle,1,2019-06-26 23:24:40,25.87,7.437961,46.94654,545
Bicycle,1,2019-06-26 23:24:50,25.91,7.438114,46.94695,550
Bicycle,1,2019-06-26 23:25:00,25.91,7.43782,46.94695,557
Bicycle,1,2019-06-26 23:25:10,25.91,7.437676,46.94651,559
Bicycle,1,2019-06-26 23:25:20,25.91,7.437496,46.94607,563
Bicycle,1,2019-06-26 23:25:30,25.91,7.437348,46.94572,565
Bicycle,1,2019-06-26 23:25:40,25.91,7.437066,46.94528,567
Bicycle,1,2019-06-26 23:25:50,25.88,7.436618,46.94472,571
Bicycle,1,2019-06-26 23:26:00,25.84,7.43613,46.94409,571
Bicycle,1,2019-06-26 23:26:10,25.86,7.435681,46.94341,572
Bicycle,1,2019-06-26 23:26:20,25.84,7.435236,46.94286,571
Bicycle,1,2019-06-26 23:26:30,25.84,7.434709,46.94265,571
Bicycle,1,2019-06-26 23:26:40,25.84,7.434566,46.94232,562
Bicycle,1,2019-06-26 23:26:50,25.84,7.434865,46.94198,554
Bicycle,1,2019-06-26 23:27:00,25.78,7.435328,46.94172,543
Bicycle,1,2019-06-26 23:27:10,25.73,7.435733,46.94164,537
Bicycle,1,2019-06-26 23:27:20,25.66,7.435724,46.94156,535
Bicycle,1,2019-06-26 23:27:30,25.64,7.435724,46.94156,535
Bicycle,1,2019-06-26 23:27:40,25.64,7.435724,46.94156,535
Bicycle,1,2019-06-26 23:27:50,25.65,7.435724,46.94156,535
Bicycle,1,2019-06-26 23:28:00,25.65,7.435724,46.94156,535
Bicycle,1,2019-06-26 23:28:10,25.65,7.435724,46.94156,535
Bicycle,1,2019-06-26 23:28:20,25.63,7.435709,46.94139,537
Bicycle,1,2019-06-26 23:28:30,25.58,7.435704,46.94104,539
Bicycle,1,2019-06-26 23:28:40,25.52,7.435653,46.94077,543
Bicycle,1,2019-06-26 23:28:50,25.51,7.435548,46.94036,545
Bicycle,1,2019-06-26 23:29:00,25.52,7.435145,46.94021,546
Bicycle,1,2019-06-26 23:29:10,25.58,7.434568,46.94037,546
Bicycle,1,2019-06-26 23:29:20,25.65,7.433951,46.94056,545
Bicycle,1,2019-06-26 23:29:30,25.68,7.43335,46.94076,544
Bicycle,1,2019-06-26 23:29:40,25.71,7.432738,46.94096,542
Bicycle,1,2019-06-26 23:29:50,25.71,7.432258,46.94104,537
Bicycle,1,2019-06-26 23:30:00,25.71,7.431933,46.94088,538
Bicycle,1,2019-06-26 23:30:10,25.71,7.431666,46.94065,546
Bicycle,1,2019-06-26 23:30:20,25.71,7.431245,46.94062,547
Bicycle,1,2019-06-26 23:30:30,25.75,7.431209,46.94059,548
Bicycle,1,2019-06-26 23:30:40,25.78,7.431273,46.94099,545
Bicycle,1,2019-06-26 23:30:50,25.78,7.431053,46.94143,552
Bicycle,1,2019-06-26 23:31:00,25.83,7.43106,46.94182,545
Bicycle,1,2019-06-26 23:31:10,25.85,7.431323,46.94218,545
Bicycle,1,2019-06-26 23:31:20,25.85,7.431493,46.94255,548
Bicycle,1,2019-06-26 23:31:30,25.85,7.43129,46.9429,546
Bicycle,1,2019-06-26 23:31:40,25.85,7.430773,46.94312,542
Bicycle,1,2019-06-26 23:31:50,25.85,7.430248,46.94331,540
Bicycle,1,2019-06-26 23:32:00,25.88,7.429668,46.94346,539
Bicycle,1,2019-06-26 23:32:10,25.91,7.429121,46.94364,538
Bicycle,1,2019-06-26 23:32:20,25.91,7.428566,46.94383,538
Bicycle,1,2019-06-26 23:32:30,25.97,7.427994,46.94401,537
Bicycle,1,2019-06-26 23:32:40,25.98,7.427431,46.94416,538
Bicycle,1,2019-06-26 23:32:50,25.96,7.427269,46.94453,539
Bicycle,1,2019-06-26 23:33:00,25.94,7.427203,46.94487,543
Bicycle,1,2019-06-26 23:33:10,25.98,7.427096,46.94515,551
Bicycle,1,2019-06-26 23:33:20,26,7.426993,46.94546,549
Bicycle,1,2019-06-26 23:33:30,26.05,7.427073,46.94582,547
Bicycle,1,2019-06-26 23:33:40,26.04,7.426966,46.94617,549
Bicycle,1,2019-06-26 23:33:50,25.97,7.426969,46.94642,551
Bicycle,1,2019-06-26 23:34:00,25.92,7.426866,46.94665,551
Bicycle,1,2019-06-26 23:34:10,25.86,7.426736,46.94686,551
Bicycle,1,2019-06-26 23:34:20,25.85,7.426553,46.94701,556
Bicycle,1,2019-06-26 23:34:30,25.84,7.426424,46.94718,562
Bicycle,1,2019-06-26 23:34:40,25.85,7.426296,46.94737,562
Bicycle,1,2019-06-26 23:34:50,25.85,7.425988,46.94736,563
Bicycle,1,2019-06-26 23:35:00,25.85,7.425676,46.94719,565
Bicycle,1,2019-06-26 23:35:10,25.85,7.425321,46.94696,567
Bicycle,1,2019-06-26 23:35:20,25.86,7.424909,46.94678,564
Bicycle,1,2019-06-26 23:35:30,25.92,7.424268,46.94659,566
Bicycle,1,2019-06-26 23:35:40,25.92,7.423734,46.9464,568
Bicycle,1,2019-06-26 23:35:50,25.92,7.423236,46.94626,571
Bicycle,1,2019-06-26 23:36:00,25.93,7.422911,46.94615,571
Bicycle,1,2019-06-26 23:36:10,25.92,7.422621,46.94612,570
Bicycle,1,2019-06-26 23:36:20,25.92,7.422316,46.94613,570
Bicycle,1,2019-06-26 23:36:30,25.92,7.421918,46.94619,567
Bicycle,1,2019-06-26 23:36:40,25.92,7.421209,46.94624,566
Bicycle,1,2019-06-26 23:36:50,25.89,7.420498,46.94635,565
Bicycle,1,2019-06-26 23:37:00,25.81,7.420053,46.94662,566
Bicycle,1,2019-06-26 23:37:10,25.71,7.41967,46.94691,570
Bicycle,1,2019-06-26 23:37:20,25.62,7.419269,46.94722,574
Bicycle,1,2019-06-26 23:37:30,25.57,7.418845,46.94753,572
Bicycle,1,2019-06-26 23:37:40,25.5,7.418679,46.94778,565
Bicycle,1,2019-06-26 23:37:50,25.45,7.418676,46.94777,564
Bicycle,1,2019-06-26 23:38:00,25.39,7.418803,46.94785,563
Bicycle,1,2019-06-26 23:38:10,25.36,7.419306,46.94801,558
Bicycle,1,2019-06-26 23:38:20,25.27,7.419776,46.94814,555
Bicycle,1,2019-06-26 23:38:30,25.17,7.42024,46.94828,552
Bicycle,1,2019-06-26 23:38:40,25.07,7.420313,46.94851,553
Bicycle,1,2019-06-26 23:38:50,24.95,7.420268,46.94868,553
Bicycle,1,2019-06-26 23:39:00,24.88,7.420143,46.94894,556
Bicycle,1,2019-06-26 23:39:10,24.79,7.42,46.94924,559
Bicycle,1,2019-06-26 23:39:20,24.68,7.419806,46.9496,558
Bicycle,1,2019-06-26 23:39:30,24.56,7.419594,46.94994,557
Bicycle,1,2019-06-26 23:39:40,24.46,7.419793,46.95021,556
Bicycle,1,2019-06-26 23:39:50,24.42,7.420316,46.95036,554
Bicycle,1,2019-06-26 23:40:00,24.37,7.420835,46.95051,552
Bicycle,1,2019-06-26 23:40:10,24.31,7.421389,46.95067,550
Bicycle,1,2019-06-26 23:40:20,24.31,7.42192,46.95083,548
Bicycle,1,2019-06-26 23:40:30,24.31,7.422366,46.95093,547
Bicycle,1,2019-06-26 23:40:40,24.31,7.422754,46.9509,548
Bicycle,1,2019-06-26 23:40:50,24.31,7.422996,46.95094,550
Bicycle,1,2019-06-26 23:41:00,24.38,7.423103,46.95089,554
Bicycle,1,2019-06-26 23:41:10,24.42,7.422964,46.95094,555
Bicycle,1,2019-06-26 23:41:20,24.48,7.422768,46.95076,558
Bicycle,1,2019-06-26 23:41:30,24.52,7.423018,46.9506,559
Bicycle,1,2019-06-26 23:41:40,24.57,7.42339,46.95036,558
Bicycle,1,2019-06-26 23:41:50,24.58,7.423584,46.95026,557
Bicycle,1,2019-06-26 23:42:00,24.57,7.423685,46.95027,557
Bicycle,1,2019-06-26 23:42:10,24.58,7.42408,46.95014,557
Bicycle,1,2019-06-26 23:42:20,24.56,7.42408,46.95031,557
Bicycle,1,2019-06-26 23:42:30,24.58,7.423713,46.95056,561
Bicycle,1,2019-06-26 23:42:40,24.63,7.423308,46.95082,566
Bicycle,1,2019-06-26 23:42:50,24.7,7.42296,46.95098,572
Bicycle,1,2019-06-26 23:43:00,24.71,7.422459,46.95112,576
Bicycle,1,2019-06-26 23:43:10,24.71,7.422108,46.95129,573
Bicycle,1,2019-06-26 23:43:20,24.71,7.422196,46.95154,564
Bicycle,1,2019-06-26 23:43:30,24.71,7.422506,46.95178,559
Bicycle,1,2019-06-26 23:43:40,24.71,7.422826,46.95214,557
Bicycle,1,2019-06-26 23:43:50,24.67,7.423103,46.95241,563
Bicycle,1,2019-06-26 23:44:00,24.64,7.422948,46.95275,565
Bicycle,1,2019-06-26 23:44:10,24.64,7.422563,46.95292,569
Bicycle,1,2019-06-26 23:44:20,24.64,7.422084,46.95311,571
Bicycle,1,2019-06-26 23:44:30,24.58,7.42165,46.95325,571
Bicycle,1,2019-06-26 23:44:40,24.49,7.421331,46.95314,573
