"time","time_orig","p_id","lon","lat","altitude","z","ta_int","UTM_x","UTM_y","cws_be_2019_meta$p_id"
2019-06-26 20:00:00,2019-06-26 19:57:12,6578,7.452552,46.948045,539,544,31.95,382241.334669815,5200552.72992487,6578
2019-06-26 20:00:00,2019-06-26 19:58:47,6580,7.441263,46.926534,-999,645,31.6,381334.748376584,5198179.395742,6580
2019-06-26 20:00:00,2019-06-26 20:01:04,6583,7.426519,46.953411,-999,563,33.4,380272.261738574,5201188.44987106,6583
2019-06-26 20:00:00,2019-06-26 20:01:15,6600,7.462937,46.907179,624,623,32.2,382942.593438102,5195996.05699907,6600
2019-06-26 20:00:00,2019-06-26 19:54:03,6601,7.417826,46.9354,555,559,34.9,379570.419968216,5199200.33806236,6601
2019-06-26 20:00:00,2019-06-26 19:51:47,6605,7.487013,46.974669,-999,551,35.4,384920.842643182,5203460.07835973,6605
2019-06-26 20:00:00,2019-06-26 19:54:20,6607,7.499983,46.888965,-999,521,33.3,385725.148589631,5193917.46669815,6607
2019-06-26 20:00:00,2019-06-26 19:55:24,6610,7.472493,46.945815,-999,566,NA,383753.964587594,5200275.16391315,6610
2019-06-26 20:00:00,2019-06-26 19:52:04,6611,7.389138,46.948227,561,562,33.5,377416.115229003,5200670.16780377,6611
2019-06-26 20:00:00,2019-06-26 19:53:09,6620,7.4375934,46.9488517,554,555,35.4,381104.811230722,5200664.95207539,6620
2019-06-26 20:00:00,2019-06-26 19:52:06,6621,7.520077,46.889487,-999,516,NA,387257.029020182,5193946.40470279,6621
2019-06-26 20:00:00,2019-06-26 19:55:17,6622,7.42149,46.974325,-999,506,33.3,379936.417525775,5203520.16672588,6622
2019-06-26 20:00:00,2019-06-26 19:55:07,6623,7.39335,46.884614,-999,712,32.8,377591.827151976,5193594.79369815,6623
2019-06-26 20:00:00,NA,6629,7.439089,46.928765,-999,566,NA,381174.181315103,5198430.60155216,6629
2019-06-26 20:00:00,2019-06-26 19:54:42,6634,7.427911,46.929275,587,583,32.6,380324.395814284,5198504.27312434,6634
2019-06-26 20:00:00,2019-06-26 19:53:13,6635,7.4432106224981,46.944831537528,507,510,35.5,381523.388810557,5200209.71666971,6635
2019-06-26 20:00:00,2019-06-26 19:58:02,6643,7.496584,46.937536,565,566,32.5,385569.662669509,5199319.73770184,6643
2019-06-26 20:00:00,2019-06-26 19:52:20,6645,7.440234,47.025008,-999,572,36.25,381474.247301794,5209123.6910321,6645
2019-06-26 20:00:00,2019-06-26 19:57:51,6649,7.4954591000001,46.9635184,548,548,31,385539.460674712,5202208.61844826,6649
2019-06-26 20:00:00,2019-06-26 19:55:13,6654,7.439418,46.971709,502,489,31.5,381294.232627026,5203202.15418759,6654
2019-06-26 20:00:00,2019-06-26 19:59:11,6658,7.447904,46.947942,546,549,31.7,381887.407401476,5200548.27703197,6658
2019-06-26 20:00:00,NA,6660,7.503306,46.934164,561,565,NA,386074.137501991,5198935.24358858,6660
2019-06-26 20:00:00,2019-06-26 19:52:42,6664,7.4965724994399,46.974308744698,581,579,35.1,385647.167371738,5203406.05046164,6664
2019-06-26 20:00:00,2019-06-26 19:54:37,6665,7.4951191960645,46.97406124051,577,580,33.3,385536.100552358,5203380.66890795,6665
2019-06-26 20:00:00,2019-06-26 19:59:45,6666,7.490228,46.951937,-999,563,35.45,385116.711547231,5200929.31216772,6666
2019-06-26 20:00:00,2019-06-26 19:51:37,6671,7.448225,47.018059,567,563,31.6,382066.164008745,5208339.42405921,6671
2019-06-26 20:00:00,2019-06-26 20:00:03,6676,7.448501,46.939519,529,526,35,381914.313661803,5199611.39232356,6676
2019-06-26 20:00:00,2019-06-26 19:58:53,6677,7.446739,47.0010159,634,583,34.3,381915.66631825,5206447.77011901,6677
2019-06-26 20:00:00,NA,6681,7.394834,46.965149,497,515,NA,377888.074818018,5202541.6929537,6681
2019-06-26 20:00:00,2019-06-26 19:59:36,6682,7.416736,46.952502,575,559,NA,379525.835810981,5201102.42911484,6682
2019-06-26 20:00:00,2019-06-26 19:58:36,6685,7.497393,46.960768,-999,554,32.2,385680.723380177,5201900.16295046,6685
2019-06-26 20:00:00,2019-06-26 19:57:14,6688,7.42993,46.974836,520,522,31.1,380579.502152225,5203564.05277239,6688
2019-06-26 20:00:00,NA,6691,7.443932,46.948725,546,553,NA,381586.875235707,5200641.27840382,6691
2019-06-26 20:00:00,2019-06-26 19:54:35,6692,7.438403,46.978345,-999,522,36.6,381231.724447702,5203941.1051474,6692
2019-06-26 20:00:00,2019-06-26 19:56:52,6693,7.455871,46.951099,546,516,NA,382500.587041111,5200887.11817277,6693
2019-06-26 20:00:00,2019-06-26 19:55:48,6698,7.431748,46.937018,-999,549,32.2,380633.692871037,5199358.84432376,6698
2019-06-26 20:00:00,2019-06-26 20:00:49,6701,7.413473,47.001824,-999,602,34.2,379388.531559493,5206588.26018673,6701
2019-06-26 20:00:00,2019-06-26 19:55:59,6706,7.418671,46.904007,674,678,31.4,379564.397331101,5195710.58671419,6706
2019-06-26 20:00:00,2019-06-26 19:52:08,6709,7.461252,46.944414,542,561,34.8,382895.462051515,5200136.21113544,6709
2019-06-26 20:00:00,NA,6711,7.526504,46.960096,583,595,NA,387894.06936342,5201783.43800064,6711
2019-06-26 20:00:00,2019-06-26 19:52:27,6716,7.5275549928397,46.867520521124,794,792,31.2,387780.909547797,5191494.73601495,6716
2019-06-26 20:00:00,2019-06-26 19:53:31,6718,7.446126,47.025553,543,546,33.2,381923.171496084,5209175.35063878,6718
2019-06-26 20:00:00,2019-06-26 20:00:14,6723,7.527225,47.019493,548,549,30.9,388073.013232735,5208382.81980832,6723
2019-06-26 20:00:00,2019-06-26 19:58:21,6727,7.48966,46.980104,606,604,35.8,385133.81463917,5204060.1494948,6727
2019-06-26 20:00:00,2019-06-26 20:00:47,6729,7.45851,47.000448,556,561,32.9,382809.282010242,5206366.98359751,6729
2019-06-26 20:00:00,2019-06-26 20:00:02,6731,7.436584,46.951104,-999,566,36.8,381032.991578748,5200916.76507132,6731
2019-06-26 20:00:00,2019-06-26 20:00:14,6734,7.383303,46.961009,489,489,NA,377001.386812875,5202099.67721956,6734
2019-06-26 20:00:00,2019-06-26 19:59:41,6738,7.399575,46.990019,582,584,34.4,378305.188301993,5205297.94546409,6738
2019-06-26 20:00:00,2019-06-26 19:55:30,6739,7.455695,47.025125,551,551,34.7,382649.35672373,5209113.4023378,6739
2019-06-26 20:00:00,2019-06-26 20:00:21,6741,7.413689,46.972924,-999,577,30.4,379339.921447995,5203376.46627944,6741
2019-06-26 20:00:00,2019-06-26 19:59:49,6742,7.423263,46.974198,-999,509,33.9,380070.987985882,5203503.33889931,6742
2019-06-26 20:00:00,2019-06-26 19:55:23,6744,7.524261,46.891795,-999,514,36.1,387580.592070961,5194196.87079569,6744
2019-06-26 20:00:00,2019-06-26 19:44:06,6746,7.410023,46.9204959,581,585,33.2,378942.911027535,5197556.17729184,6746
2019-06-26 20:00:00,2019-06-26 19:55:21,6749,7.439372,46.937613,522,527,NA,381215.29437936,5199413.38323967,6749
2019-06-26 20:00:00,2019-06-26 19:52:39,6750,7.430553,46.939951,-999,541,33.9,380549.26224091,5199686.58636521,6750
2019-06-26 20:00:00,2019-06-26 19:52:41,6752,7.4879008,46.9809056,614,615,32.4,385001.743102371,5204151.80657605,6752
2019-06-26 20:00:00,2019-06-26 19:56:57,6753,7.499413,46.979949,581,614,34.3,385875.220044389,5204028.67310816,6753
2019-06-26 20:00:00,2019-06-26 19:58:45,6755,7.540972,46.894056,528,529,35.4,388858.263107801,5194424.31047849,6755
2019-06-26 20:00:00,2019-06-26 19:52:31,6759,7.439099,46.937399,519,527,31,381194.042325694,5199390.01668442,6759
2019-06-26 20:00:00,2019-06-26 19:55:58,6768,7.450516,46.954142,-999,563,NA,382099.793184744,5201233.30556409,6768
