"";"log_dist_mean";"log_dist";"log_dist_name";"log_temp_weighted_mean";"log_temp";"log_number_of_log";"log_temp_difference"
"43";344,798898543831;"471.770213780519, 217.827583307143";"Log_48,Log_69";33,8625679036644;"30.457, 35.435";2;4,98256790366441
"44";344,798898543831;"471.770213780519, 217.827583307143";"Log_48,Log_69";33,8625679036644;"30.457, 35.435";2;4,98256790366441
"45";344,798898543831;"471.770213780519, 217.827583307143";"Log_48,Log_69";33,8625679036644;"30.457, 35.435";2;5,0125679036644
"46";344,798898543831;"471.770213780519, 217.827583307143";"Log_48,Log_69";33,8625679036644;"30.457, 35.435";2;5,03256790366441
"47";344,798898543831;"471.770213780519, 217.827583307143";"Log_48,Log_69";33,8625679036644;"30.457, 35.435";2;4,98256790366441
"48";344,798898543831;"471.770213780519, 217.827583307143";"Log_48,Log_69";33,8625679036644;"30.457, 35.435";2;4,98256790366441
"49";344,798898543831;"471.770213780519, 217.827583307143";"Log_48,Log_69";33,8625679036644;"30.457, 35.435";2;4,9225679036644
"50";344,798898543831;"471.770213780519, 217.827583307143";"Log_48,Log_69";33,8625679036644;"30.457, 35.435";2;4,8525679036644
"51";344,798898543831;"471.770213780519, 217.827583307143";"Log_48,Log_69";33,8625679036644;"30.457, 35.435";2;4,8525679036644
"52";344,798898543831;"471.770213780519, 217.827583307143";"Log_48,Log_69";33,8625679036644;"30.457, 35.435";2;4,8525679036644
"53";344,798898543831;"471.770213780519, 217.827583307143";"Log_48,Log_69";33,8625679036644;"30.457, 35.435";2;4,8525679036644
"54";344,798898543831;"471.770213780519, 217.827583307143";"Log_48,Log_69";33,8625679036644;"30.457, 35.435";2;4,8525679036644
"55";344,798898543831;"471.770213780519, 217.827583307143";"Log_48,Log_69";33,8625679036644;"30.457, 35.435";2;4,8525679036644
"56";344,798898543831;"471.770213780519, 217.827583307143";"Log_48,Log_69";33,8625679036644;"30.457, 35.435";2;4,8525679036644
"57";344,798898543831;"471.770213780519, 217.827583307143";"Log_48,Log_69";33,8625679036644;"30.457, 35.435";2;4,82256790366441
"58";344,798898543831;"471.770213780519, 217.827583307143";"Log_48,Log_69";33,8625679036644;"30.457, 35.435";2;4,79256790366441
"59";344,798898543831;"471.770213780519, 217.827583307143";"Log_48,Log_69";33,8625679036644;"30.457, 35.435";2;4,81256790366441
"60";344,798898543831;"471.770213780519, 217.827583307143";"Log_48,Log_69";33,8625679036644;"30.457, 35.435";2;4,80256790366441
"61";344,798898543831;"471.770213780519, 217.827583307143";"Log_48,Log_69";33,8625679036644;"30.457, 35.435";2;4,78256790366441
"62";344,798898543831;"471.770213780519, 217.827583307143";"Log_48,Log_69";33,8625679036644;"30.457, 35.435";2;4,73256790366441
"63";344,798898543831;"471.770213780519, 217.827583307143";"Log_48,Log_69";33,8625679036644;"30.457, 35.435";2;4,72256790366441
"64";344,798898543831;"471.770213780519, 217.827583307143";"Log_48,Log_69";33,8625679036644;"30.457, 35.435";2;4,72256790366441
"65";344,798898543831;"471.770213780519, 217.827583307143";"Log_48,Log_69";33,8625679036644;"30.457, 35.435";2;4,72256790366441
"66";344,798898543831;"471.770213780519, 217.827583307143";"Log_48,Log_69";33,8625679036644;"30.457, 35.435";2;4,71256790366441
"67";344,798898543831;"471.770213780519, 217.827583307143";"Log_48,Log_69";33,8625679036644;"30.457, 35.435";2;4,6525679036644
"68";344,798898543831;"471.770213780519, 217.827583307143";"Log_48,Log_69";33,8625679036644;"30.457, 35.435";2;4,6525679036644
"69";344,798898543831;"471.770213780519, 217.827583307143";"Log_48,Log_69";33,8625679036644;"30.457, 35.435";2;4,6725679036644
"70";344,798898543831;"471.770213780519, 217.827583307143";"Log_48,Log_69";33,8625679036644;"30.457, 35.435";2;4,72256790366441
"71";344,798898543831;"471.770213780519, 217.827583307143";"Log_48,Log_69";33,8625679036644;"30.457, 35.435";2;4,75256790366441
"72";344,798898543831;"471.770213780519, 217.827583307143";"Log_48,Log_69";33,8625679036644;"30.457, 35.435";2;4,78256790366441
"73";344,798898543831;"471.770213780519, 217.827583307143";"Log_48,Log_69";33,8625679036644;"30.457, 35.435";2;4,78256790366441
"74";344,798898543831;"471.770213780519, 217.827583307143";"Log_48,Log_69";33,8625679036644;"30.457, 35.435";2;4,8525679036644
"75";344,798898543831;"471.770213780519, 217.827583307143";"Log_48,Log_69";33,8625679036644;"30.457, 35.435";2;4,89256790366441
"76";344,798898543831;"471.770213780519, 217.827583307143";"Log_48,Log_69";33,8625679036644;"30.457, 35.435";2;4,9025679036644
"77";344,798898543831;"471.770213780519, 217.827583307143";"Log_48,Log_69";33,8625679036644;"30.457, 35.435";2;4,84256790366441
"78";344,798898543831;"471.770213780519, 217.827583307143";"Log_48,Log_69";33,8625679036644;"30.457, 35.435";2;4,77256790366441
"79";344,798898543831;"471.770213780519, 217.827583307143";"Log_48,Log_69";33,8625679036644;"30.457, 35.435";2;4,70256790366441
"80";344,798898543831;"471.770213780519, 217.827583307143";"Log_48,Log_69";33,8625679036644;"30.457, 35.435";2;4,6525679036644
"81";344,798898543831;"471.770213780519, 217.827583307143";"Log_48,Log_69";33,8625679036644;"30.457, 35.435";2;4,59256790366441
"82";344,798898543831;"471.770213780519, 217.827583307143";"Log_48,Log_69";33,8625679036644;"30.457, 35.435";2;4,55256790366441
"83";344,798898543831;"471.770213780519, 217.827583307143";"Log_48,Log_69";33,8625679036644;"30.457, 35.435";2;4,50256790366441
"84";344,798898543831;"471.770213780519, 217.827583307143";"Log_48,Log_69";33,8625679036644;"30.457, 35.435";2;4,45256790366441
"85";344,798898543831;"471.770213780519, 217.827583307143";"Log_48,Log_69";33,8625679036644;"30.457, 35.435";2;4,4425679036644
"86";344,798898543831;"471.770213780519, 217.827583307143";"Log_48,Log_69";33,8625679036644;"30.457, 35.435";2;4,43256790366441
"87";344,798898543831;"471.770213780519, 217.827583307143";"Log_48,Log_69";33,8625679036644;"30.457, 35.435";2;4,38256790366441
"88";344,798898543831;"471.770213780519, 217.827583307143";"Log_48,Log_69";33,8625679036644;"30.457, 35.435";2;4,38256790366441
