"ID","Year","DOY","HHMM","Seconds","Temp.degC","RelHum.percent","CO2.ppm","H2O.degC","Tdew.","Tfrost.","TIMESTAMP","TNUM","X","Y","Z","dateAndTime","TIMESTAMP_CEST","Equal_Temp_Flag","NbrofSats_Flag","Implausible_Flag","Route_Flag","log$date_time_gmt_plus_2","Log_1","Log_2","Log_3","Log_4","Log_6","Log_8","Log_9","Log_10","Log_11","Log_12","Log_13","Log_14","Log_15","Log_16","Log_17","Log_18","Log_19","Log_20","Log_21","Log_22","Log_23","Log_25","Log_26","Log_28","Log_29","Log_30","Log_31","Log_32","Log_33","Log_34","Log_35","Log_36","Log_37","Log_38","Log_39","Log_40","Log_41","Log_42","Log_45","Log_46","Log_47","Log_48","Log_50","Log_51","Log_52","Log_53","Log_54","Log_55","Log_57","Log_58","Log_59","Log_60","Log_61","Log_62","Log_63","Log_65","Log_68","Log_69","Log_70","Log_71","Log_73","Log_74","Log_76","Log_77","Log_78","Log_79","Log_80","Log_82","Log_83","Log_86","Log_87","Log_97","Log_99","Log_101","Log_102"
107,2019,177,915,20,28.39,53.86,473.4,17.3,11.71,3.099,"2019-06-26 09:15:20",1561540520,7.434934,46.952948,615," 2019-06-26 09:15:20",2019-06-26 11:15:20,NA,NA,NA,NA,2019-06-26 20:00:00,32.704,33.743,34.058,30.457,32.291,34.058,31.778,33.222,29.853,32.807,31.166,35.864,34.163,34.479,32.911,34.163,34.058,31.166,33.222,33.639,32.807,33.222,33.848,35.222,33.118,34.903,31.472,29.452,30.356,34.374,34.479,33.743,33.743,33.743,31.676,33.848,32.911,34.479,33.848,33.535,34.585,30.457,33.014,32.394,30.862,33.953,34.163,34.585,35.009,32.704,34.691,33.43,32.704,33.118,34.268,30.356,35.328,35.435,34.585,33.848,33.743,34.796,32.086,30.154,32.394,33.848,32.291,35.864,34.691,33.222,26.683,33.118,33.43,30.963,34.268
107,2019,177,915,30,28.32,51.4,445.5,17.7,11.72,3.099,"2019-06-26 09:15:30",1561540530,7.434934,46.952948,615," 2019-06-26 09:15:30",2019-06-26 11:15:30,NA,NA,NA,NA,2019-06-26 20:00:00,32.704,33.743,34.058,30.457,32.291,34.058,31.778,33.222,29.853,32.807,31.166,35.864,34.163,34.479,32.911,34.163,34.058,31.166,33.222,33.639,32.807,33.222,33.848,35.222,33.118,34.903,31.472,29.452,30.356,34.374,34.479,33.743,33.743,33.743,31.676,33.848,32.911,34.479,33.848,33.535,34.585,30.457,33.014,32.394,30.862,33.953,34.163,34.585,35.009,32.704,34.691,33.43,32.704,33.118,34.268,30.356,35.328,35.435,34.585,33.848,33.743,34.796,32.086,30.154,32.394,33.848,32.291,35.864,34.691,33.222,26.683,33.118,33.43,30.963,34.268
107,2019,177,915,40,28.28,50.89,452.8,17.86,11.8,3.099,"2019-06-26 09:15:40",1561540540,7.434934,46.952948,615," 2019-06-26 09:15:40",2019-06-26 11:15:40,NA,NA,NA,NA,2019-06-26 20:00:00,32.704,33.743,34.058,30.457,32.291,34.058,31.778,33.222,29.853,32.807,31.166,35.864,34.163,34.479,32.911,34.163,34.058,31.166,33.222,33.639,32.807,33.222,33.848,35.222,33.118,34.903,31.472,29.452,30.356,34.374,34.479,33.743,33.743,33.743,31.676,33.848,32.911,34.479,33.848,33.535,34.585,30.457,33.014,32.394,30.862,33.953,34.163,34.585,35.009,32.704,34.691,33.43,32.704,33.118,34.268,30.356,35.328,35.435,34.585,33.848,33.743,34.796,32.086,30.154,32.394,33.848,32.291,35.864,34.691,33.222,26.683,33.118,33.43,30.963,34.268
107,2019,177,915,50,28.23,50.97,444.3,17.89,11.82,3.099,"2019-06-26 09:15:50",1561540550,7.434934,46.952948,615," 2019-06-26 09:15:50",2019-06-26 11:15:50,NA,NA,NA,NA,2019-06-26 20:00:00,32.704,33.743,34.058,30.457,32.291,34.058,31.778,33.222,29.853,32.807,31.166,35.864,34.163,34.479,32.911,34.163,34.058,31.166,33.222,33.639,32.807,33.222,33.848,35.222,33.118,34.903,31.472,29.452,30.356,34.374,34.479,33.743,33.743,33.743,31.676,33.848,32.911,34.479,33.848,33.535,34.585,30.457,33.014,32.394,30.862,33.953,34.163,34.585,35.009,32.704,34.691,33.43,32.704,33.118,34.268,30.356,35.328,35.435,34.585,33.848,33.743,34.796,32.086,30.154,32.394,33.848,32.291,35.864,34.691,33.222,26.683,33.118,33.43,30.963,34.268
107,2019,177,916,NA,28.21,51.01,497.2,17.86,11.81,3.099,"2019-06-26 09:16:00",1561540560,7.434934,46.952948,615," 2019-06-26 09:16:00",2019-06-26 11:16:00,NA,NA,NA,NA,2019-06-26 20:00:00,32.704,33.743,34.058,30.457,32.291,34.058,31.778,33.222,29.853,32.807,31.166,35.864,34.163,34.479,32.911,34.163,34.058,31.166,33.222,33.639,32.807,33.222,33.848,35.222,33.118,34.903,31.472,29.452,30.356,34.374,34.479,33.743,33.743,33.743,31.676,33.848,32.911,34.479,33.848,33.535,34.585,30.457,33.014,32.394,30.862,33.953,34.163,34.585,35.009,32.704,34.691,33.43,32.704,33.118,34.268,30.356,35.328,35.435,34.585,33.848,33.743,34.796,32.086,30.154,32.394,33.848,32.291,35.864,34.691,33.222,26.683,33.118,33.43,30.963,34.268
107,2019,177,916,10.13,28.21,51.12,471.1,17.9,11.84,3.099,"2019-06-26 09:16:10",1561540570,7.434934,46.952948,615," 2019-06-26 09:16:10",2019-06-26 11:16:10,NA,NA,NA,NA,2019-06-26 20:00:00,32.704,33.743,34.058,30.457,32.291,34.058,31.778,33.222,29.853,32.807,31.166,35.864,34.163,34.479,32.911,34.163,34.058,31.166,33.222,33.639,32.807,33.222,33.848,35.222,33.118,34.903,31.472,29.452,30.356,34.374,34.479,33.743,33.743,33.743,31.676,33.848,32.911,34.479,33.848,33.535,34.585,30.457,33.014,32.394,30.862,33.953,34.163,34.585,35.009,32.704,34.691,33.43,32.704,33.118,34.268,30.356,35.328,35.435,34.585,33.848,33.743,34.796,32.086,30.154,32.394,33.848,32.291,35.864,34.691,33.222,26.683,33.118,33.43,30.963,34.268
107,2019,177,916,20,28.2,51.25,455.3,17.84,11.83,3.099,"2019-06-26 09:16:20",1561540580,7.434934,46.952948,615," 2019-06-26 09:16:20",2019-06-26 11:16:20,NA,NA,NA,NA,2019-06-26 20:00:00,32.704,33.743,34.058,30.457,32.291,34.058,31.778,33.222,29.853,32.807,31.166,35.864,34.163,34.479,32.911,34.163,34.058,31.166,33.222,33.639,32.807,33.222,33.848,35.222,33.118,34.903,31.472,29.452,30.356,34.374,34.479,33.743,33.743,33.743,31.676,33.848,32.911,34.479,33.848,33.535,34.585,30.457,33.014,32.394,30.862,33.953,34.163,34.585,35.009,32.704,34.691,33.43,32.704,33.118,34.268,30.356,35.328,35.435,34.585,33.848,33.743,34.796,32.086,30.154,32.394,33.848,32.291,35.864,34.691,33.222,26.683,33.118,33.43,30.963,34.268
107,2019,177,916,30,28.14,51.33,470.3,17.69,11.84,3.099,"2019-06-26 09:16:30",1561540590,7.434934,46.952948,615," 2019-06-26 09:16:30",2019-06-26 11:16:30,NA,NA,NA,NA,2019-06-26 20:00:00,32.704,33.743,34.058,30.457,32.291,34.058,31.778,33.222,29.853,32.807,31.166,35.864,34.163,34.479,32.911,34.163,34.058,31.166,33.222,33.639,32.807,33.222,33.848,35.222,33.118,34.903,31.472,29.452,30.356,34.374,34.479,33.743,33.743,33.743,31.676,33.848,32.911,34.479,33.848,33.535,34.585,30.457,33.014,32.394,30.862,33.953,34.163,34.585,35.009,32.704,34.691,33.43,32.704,33.118,34.268,30.356,35.328,35.435,34.585,33.848,33.743,34.796,32.086,30.154,32.394,33.848,32.291,35.864,34.691,33.222,26.683,33.118,33.43,30.963,34.268
107,2019,177,916,40,28.14,51.1,459.1,17.55,11.81,3.099,"2019-06-26 09:16:40",1561540600,7.434934,46.952948,615," 2019-06-26 09:16:40",2019-06-26 11:16:40,NA,NA,NA,NA,2019-06-26 20:00:00,32.704,33.743,34.058,30.457,32.291,34.058,31.778,33.222,29.853,32.807,31.166,35.864,34.163,34.479,32.911,34.163,34.058,31.166,33.222,33.639,32.807,33.222,33.848,35.222,33.118,34.903,31.472,29.452,30.356,34.374,34.479,33.743,33.743,33.743,31.676,33.848,32.911,34.479,33.848,33.535,34.585,30.457,33.014,32.394,30.862,33.953,34.163,34.585,35.009,32.704,34.691,33.43,32.704,33.118,34.268,30.356,35.328,35.435,34.585,33.848,33.743,34.796,32.086,30.154,32.394,33.848,32.291,35.864,34.691,33.222,26.683,33.118,33.43,30.963,34.268
107,2019,177,916,50,28.14,51.11,461.6,17.49,11.83,3.099,"2019-06-26 09:16:50",1561540610,7.434934,46.952948,615," 2019-06-26 09:16:50",2019-06-26 11:16:50,NA,NA,NA,NA,2019-06-26 20:00:00,32.704,33.743,34.058,30.457,32.291,34.058,31.778,33.222,29.853,32.807,31.166,35.864,34.163,34.479,32.911,34.163,34.058,31.166,33.222,33.639,32.807,33.222,33.848,35.222,33.118,34.903,31.472,29.452,30.356,34.374,34.479,33.743,33.743,33.743,31.676,33.848,32.911,34.479,33.848,33.535,34.585,30.457,33.014,32.394,30.862,33.953,34.163,34.585,35.009,32.704,34.691,33.43,32.704,33.118,34.268,30.356,35.328,35.435,34.585,33.848,33.743,34.796,32.086,30.154,32.394,33.848,32.291,35.864,34.691,33.222,26.683,33.118,33.43,30.963,34.268
